n,Codice_IPA,tipo,email
1,c_8ogv,Mail2,info@comune.cerveno.bs.it
1,c_92rb,Mail2,castelbianco@libero.it
1,c_9gbx,Mail2,info@comune.braies.bz.it
1,c_A069,Mail2,protocollo@comuneaggius.it
1,c_A344,Mail2,comuneaquilaarroscia@libero.it
1,c_B705,Mail2,caprie@comune.caprie.to.it
1,c_D841,Mail2,ragioneria@comunegadesco.it
1,c_E074,Mail2,protocollogodrano@comune.godrano.pa.it
1,c_F244,Mail2,suap.misanoadriatico@legalmail.it
1,c_F793,Mail2,info@comune.muccia.mc.it
1,c_G514,Mail2,comune.petriano@comune.provincia.ps.it
1,c_G992,Mail2,comuneprata@yahoo.it
1,c_H393,Mail5,polmunroccadarce@libero.it
1,c_H460im,Mail2,comunedirocchetta@libero.it
1,c_I243,Mail2,sindaco@comune.torrecajetani.fr.it
1,c_I289,Mail2,protocollo@comune.santangelolimosano.cb.it
1,c_I711,Mail2,protocollo@comunedisezzadio.it
1,c_I924,Mail4,segreteria@comune.spormaggiore.tn.it
1,c_I984,Mail2,stroppiana@comuniubv.it
1,c_L878,Mail2,protocollo@comune.vighizzolo.pd.it
1,c_M023,Mail2,vsangelo@tiscali.it
1,c_M430,Mail2,comune@comune.novella.tn.it
1,c_a001,Mail2,protocollo@abanoterme.net
1,c_a006,Mail2,comune@comune.abbadia.siena.it
1,c_a008,Mail2,comune@comune.abbateggio.pe.it
2,c_a010,Mail3,protocollo@comune.abbiategrasso.mi.it
2,c_a014,Mail3,protocollo@comune.acate.rg.it
1,c_a016,Mail2,info@comune.acceglio.cn.it
1,c_a019,Mail2,comune@comune.accumoli.ri.it
1,c_a020,Mail2,tributi@comune.acerenza.pz.it
1,c_a023,Mail3,ragioneria@comune.acerno.sa.it
1,c_a024,Mail2,protocollo@comune.acerra.na.it
1,c_a032,Mail2,acquafondata.anagrafe@virgilio.it
1,c_a035,Mail2,comune.acqualagna@provincia.ps.it
1,c_a038,Mail2,protocollo@comune.acquanegra.mn.it
1,c_a039,Mail2,comune.acquanegra.cr@libero.it
1,c_a041,Mail2,comune.acquappesa@libero.it
1,c_a051,Mail2,acquavivadisernia@libero.it
1,c_a052,Mail2,protocollo@comune.acquiterme.al.it
1,c_a053,Mail2,segreteria@comuneacri.gov.it
1,c_a057,Mail2,segreteria.protocollo@comune.adrarasm.bg.it
1,c_a058,Mail2,protocollo@comune.adrarasanrocco.bg.it
1,c_a061,Mail2,servizi@comune.affi.vr.it
1,c_a065,Mail2,protocollo@comune.africo.rc.it
1,c_a067,Mail2,urp@comune.agazzano.pc.it
1,c_a070,Mail2,sindaco@comuneagira.gov.it
1,c_a072,Mail2,protocollo@comune.aglianoterme.at.it
1,c_a074,Mail2,protocollo@comune.aglie.to.it
1,c_a076,Mail2,info@comune.agnadello.cr.it
1,c_a077,Mail2,anagrafe.agnana@tiscali.it
1,c_a082,Mail2,segreteria@comune.agnosine.bs.it
1,c_a083,Mail2,agordo@comune.agordo.bl.it
1,c_a084,Mail2,ragioneria@comunediagosta.it
1,c_a087,Mail2,servizidemografici.agratebrianza@legalmail.it
1,c_a088,Mail2,municipio@comune.agrateconturbia.no.it
1,c_a091,Mail3,sindaco@comune.agropoli.sa.it
1,c_a092,Mail2,comune.agugliano@provincia.ancona.it
1,c_a093,Mail2,segreteria@comune.agugliaro.vi.it
1,c_a096,Mail2,comune@comune.aicurzio.mb.it
1,c_a100,Mail2,ragioneria@comunediaielli.it
1,c_a102,Mail2,ur.aiellocal@libero.it
1,c_a103,Mail2,protocollo@comune.aiellodelfriuli.ud.it
1,c_a106,Mail2,protocollo@comune.ailano.ce.it
1,c_a107,Mail2,rag.ailoche@ptb.provincia.biella.it
1,c_a108,Mail2,info@comune.aymavilles.ao.it
1,c_a109,Mail2,protocollo@comune.airasca.to.it
1,c_a113,Mail2,comune.aisone@vallestura.cn.it
1,c_a116,Mail3,serv.gen@comune.ala.tn.it
1,c_a118,Mail2,protocollo@comune.alagna.pv.it
1,c_a119,Mail2,protocollo@comune.alagnavalsesia.vc.it
2,c_a120,Mail3,protocollo@comune.alanno.pe.it
1,c_a122,Mail2,protocollo@comune.alassio.av.it
3,c_a125,Mail4,protocollo@comune.alba-adriatica.te.it
1,c_a129,Mail3,info@comune.albano.bg.it
1,c_a130,Mail2,albano.vercellese@libero.it
1,c_a131,Mail2,vito.damico@comune.albanodilucania.pz.it
1,c_a134,Mail2,albaredoa@tiscali.it
1,c_a135,Mail2,amministrazione@comune.albaredopersanmarco.so.it
1,c_a137,Mail2,urp@comune.albaredodadige.vr.it
1,c_a138,Mail2,info@comune.albareto.pr.it
1,c_a139,Mail2,albarettotorre@tiscali.it
1,c_a143,Mail2,info@comune.albavilla.co.it
1,c_a146,Mail2,albera.ligure@reteunitaria.piemonte.it
1,c_a149,Mail5,sindaco@comune.alberobello.ba.it
1,c_a153,Mail2,tributi@comune.albeseconcassano.co.it
1,c_a154,Mail2,protocollo@comune.albettone.vi.it
1,c_a157,Mail2,albiano.divrea@ruparpiemonte.it
1,c_a159,Mail2,segreteria@comune.albiate.mb.it
1,c_a161,Mail2,info@comune.albignasego.pd.it
1,c_a164,Mail2,info@comune.albiolo.co.it
1,c_a165,Mail2,protocollo@comune.albissolamarina.sv.it
1,c_a166,Mail2,urp@comune.albisola-superiore.sv.it
1,c_a167,Mail2,affarigenerali@comune.albizzate.va.it
1,c_a172,Mail2,info@comune.albosaggia.so.it
1,c_a173,Mail2,protocollo@comune.albugnano.at.it
1,c_a178,Mail2,protocollo@comune.aldeno.tn.it
1,c_a181,Mail4,protocollo@comune.alessandriadellarocca.ag.it
1,c_a187,Mail2,protocollo@comune.alfedena.aq.it
1,c_a188,Mail2,info@comune.alfianello.bs.it
1,c_a189,Mail2,info@comune.alfianonatta.al.it
1,c_a191,Mail2,rastellis@comune.alfonsine.ra.it
1,c_a193,Mail2,info@comune.algua.bg.it
1,c_a194,Mail2,affari.generali@comune.ali.me.it
1,c_a195,Mail2,comunedialia@libero.it
1,c_a196,Mail2,ragioneria@comune.aliano.mt.it
1,c_a197,Mail2,info@comune.alicebelcolle.al.it
1,c_a201,Mail2,segreteria@comune.aliterme.me.it
1,c_a204,Mail2,comunediallai@tiscali.it
1,c_a206,Mail2,alleghe@agordino.bl.it
1,c_a214,Mail2,info@comune.alme.bg.it
1,c_a215,Mail2,protocollo@comune.villadalme.bg.it
1,c_a218,Mail2,segreteria@comune.almese.to.it
1,c_a220,Mail3,protocollo@comune.alonte.vi.it
1,c_a222,Mail2,urp@comune.alpignano.to.it
1,c_a223,Mail2,segreteria@comune.alseno.pc.it
1,c_a224,Mail2,info@comune.alserio.co.it
1,c_a228,Mail2,municipio@comunealtavillairpina.gov.it
1,c_a229,Mail2,protocollo@altavillamilicia.eu
1,c_a234,Mail2,ERNESTOPATELLA@LIBERO.IT
1,c_a235,Mail2,protocollo@comune.altino.ch.it
1,c_a236,Mail2,anagrafe@comune.altissimo.vi.it
1,c_a237,Mail2,segreteria.protocollo@comune.altivole.tv.it
1,c_a238,Mail2,alto@ruparpiemonte.it
1,c_a239,Mail2,protocollo@comune.altofonte.pa.it
1,c_a241,Mail2,protocollo@comune.altopascio.lu.it
1,c_a244,Mail2,uffragtrib.alvito@libero.it
1,c_a246,Mail2,protocollo@comune.alzano.bg.it
1,c_a249,Mail3,uffici@alzatebrianza.org
2,c_a252,Mail3,comune.amandola.protocollo@emarche.it
1,c_a253,Mail2,sindaco@comune.amantea.cs.it
1,c_a254,Mail2,segreteria@com-amaro.regione.fvg.it
1,c_a255,Mail2,PROTOCOLLO@COMUNEDIAMARONI.IT
1,c_a256,Mail2,segreteria@amaseno.net
1,c_a258,Mail2,uff.protocollo@comune.amatrice.rieti.it
1,c_a259,Mail2,tecnico@comune.ambivere.bg.it
1,c_a261,Mail3,protocollo@comune.ameglia.sp.it
1,c_a263,Mail4,segretario@comune.amendolara.cs.it
1,c_a264,Mail2,ufficio.protocollo@comune.ameno.novara.it
1,c_a265,Mail2,personale@comune.amorosi.bn.it
1,c_a269,Mail2,protocollo@comune.anagni.fr.it
1,c_a270,Mail2,info@comune.ancarano.te.it
1,c_a272,Mail2,protocollo@comunediandali.it
1,c_a273,Mail2,amministrazione@comune.andalovaltellino.so.it
1,c_a274,Mail2,info@comune.andalo.tn.it
1,c_a275,Mail2,protocollo@comune.andezeno.to.it
1,c_a278,Mail2,protocollo@comunediandora.it
1,c_a281,Mail2,segreteria@comune.andrano.le.it
1,c_a282,Mail2,andrate@ruparpiemonte.it
1,c_a283,Mail2,segreteria@comune.andreis.pn.it
1,c_a286,Mail2,info@gemeinde.andrian.bz.it
1,c_a287,Mail2,finanze@comune.anela.ss.it
1,c_a288,Mail2,info@comune.anfo.bs.it
1,c_a290,Mail4,segreteria@comune.angera.it
1,c_a292,Mail2,segreteria@comune.angiari.vr.it
1,c_a294,Mail2,alfonso.toscano@comune.angri.sa.it
1,c_a296,Mail2,protocollo@comune.anguillaraveneta.pd.it
1,c_a299,Mail2,info@comuneannicco.it
1,c_a301,Mail3,info@comune.annone-di-brianza.lc.it
1,c_a304,Mail2,protocollo@comune.antegnate.bg.it
1,c_a305,Mail2,info@comune.antey-st-andre.ao.it
1,c_a306,Mail2,info@comune.anterivo.bz.it
1,c_a310,Mail2,segreteria@comunedifiuggi.it
1,c_a314,Mail2,ragioneriaantonimina@tiscali.it
1,c_a317,Mail2,municipio@comune.antronaschieranco.vb.it
1,c_a318,Mail2,serviziofinanziario@comunedianversa.it
1,c_a325,Mail2,protocollo@comune.anzoladossola.vb.it
1,c_a327,Mail2,comune.apecchio@provincia.ps.it
1,c_a330,Mail2,protocollo@comune.apollosa.bn.it
1,c_a332,Mail2,info@appiano.eu
2,c_a333,Mail4,protocollo@comune.appianogentile.co.it
1,c_a337,Mail2,ragioneria@comune.aprica.so.it
1,c_a338,Mail2,apricale@apricale.org
1,c_a343,Mail3,info@comune.aquara.sa.it
1,c_a346,Mail2,protocollo@com-aquileia.regione.fvg.it
1,c_a350,Mail2,segreteria@comune.aradeo.le.it
1,c_a352,Mail2,info@comune.aramengo.at.it
1,c_a354,Mail2,affari.generali@com-arba.regione.fvg.it
1,c_a355,Mail2,protocollo@comuneditortoli.it
1,c_a359,Mail2,protocollo@comunediarbus.gov.it
1,c_a363,Mail2,ufficio.tecnico@comune.arce.fr.it
1,c_a365,Mail2,info@comune.arcene.bg.it
1,c_a366,Mail2,ufficio.protocollo@arceviaweb.it
1,c_a367,Mail2,gennaro.farina@comunediarchi.it
2,c_a368,Mail3,protocollo@comune.sannicolodarcidano.or.it
1,c_a369,Mail2,protocollo@comune.arcidosso.gr.it
1,c_a370,Mail2,ragioneria@comunearcinazzoromano.it
1,c_a371,Mail2,segreteria@comunearcisate.va.it
1,c_a372,Mail2,urp@comune.arco.tn.it
1,c_a374,Mail2,segreteria@comune.arcole.vr.it
1,c_a376,Mail2,urp@comune.arcore.mb.it
1,c_a379,Mail2,protocollo@comune.ardara.ss.it
1,c_a383,Mail2,info@comune.ardesio.bg.it
1,c_a385,Mail2,segreteriaardore@libero.it
1,c_a388,Mail2,info@comune.arenzano.ge.it
1,c_a390,Mail2,protocollo@comune.arezzo.it
1,c_a396,Mail2,segreteria@comune.arguello.cn.it
1,c_a397,Mail2,info@comuneargusto.it
1,c_a398,Mail2,ragioneria@comune.ari.ch.it
1,c_a400,Mail2,ragioneria@comune.arianonelpolesine.ro.it
1,c_a407,Mail2,artzo.anagrafe@tiscali.it
1,c_a409,Mail2,segreteria@comune.arizzano.vb.it
1,c_a412,Mail2,comune.arlena@virgilio.it
1,c_a413,Mail2,protocollo@comune.arluno.mi.it
1,c_a414,Mail2,protocollo@comune.armeno.no.it
2,c_a417,Mail3,protocollo@comune.armo.im.it
1,c_a419,Mail2,amministrativo@comune.armungia.ca.it
1,c_a421,Mail2,info@comune.arnara.fr.it
1,c_a422,Mail2,info@comunearnasco.it
1,c_a424,Mail2,info@comune.arnad.ao.it
1,c_a429,Mail2,protocollo@comune.arona.no.it
1,c_a430,Mail2,contialberto@comune.arosio.co.it
1,c_a433,Mail2,info@comune.arpino.fr.it
1,c_a434,Mail2,arqua.petrarca@tin.it
1,c_a435,Mail2,info@comune.arqua.ro.it
1,c_a443,Mail2,arsie@feltrino.bl.it
1,c_a444,Mail2,segreteria@comune.arsiero.vi.it
1,c_a446,Mail2,rag.comunearsoli@libero.it
1,c_a447,Mail2,demografico@com-arta-terme.regione.fvg.it
1,c_a448,Mail2,info@com-artegna.regione.fvg.it
1,c_a449,Mail2,affarigenerali@comune.artena.rm.it
1,c_a452,Mail2,info@comune.arvier.ao.it
1,c_a460,Mail2,ragioneria.ascea@libero.it
1,c_a462,Mail2,protocollo@comune.ap.it
1,c_a463,Mail2,sindaco@comune.ascolisatriano.fg.it
1,c_a464,Mail2,info@comune.ascrea.ri.it
1,c_a465,Mail2,comune@comune.asiago.vi.it
1,c_a466,Mail2,asigliano.vercellese@reteunitaria.piemonte.it
1,c_a467,Mail2,d.vencato@unionecomunibassovicentino.it
1,c_a468,Mail2,protocollo@comune.sinalunga.si.it
1,c_a471,Mail2,protocollo@comune.asolo.tv.it
2,c_a472,Mail3,protocollo@comune.casperia.ri.it
1,c_a473,Mail2,sportelloalcittadino@comune.assago.mi.it
1,c_a475,Mail2,protocollo@comune.assisi.pg.it
1,c_a478,Mail2,info@comune.assoro.en.it
1,c_a479,Mail2,f.bellone@comune.asti.it
1,c_a481,Mail2,ufficioamministrativo@comune.ateleta.aq.it
1,c_a484,Mail2,info@comune.atenalucana.sa.it
1,c_a485,Mail2,info@comunediatessa.it
1,c_a487,Mail2,protocollo@comune.atrani.sa.it
1,c_a488,Mail3,sindaco@comune.atri.te.it
1,c_a490,Mail2,info@comunediattigliano.gov.it
1,c_a491,Mail2,ragioneria@comune.attimis.ud.it
1,c_a497,Mail3,uffici@comune.aurano.vb.it
1,c_a499,Mail2,aurigo@uno.it
1,c_a502,Mail3,ragioneria.ausonia@libero.it
1,c_a503,Mail2,AUSTIS.COMUNE@GMAIL.COM
1,c_a507,Mail2,info@comune.avelengo.bz.it
1,c_a511,Mail2,info@comune.averara.bg.it
1,c_a512,Mail2,affarigenerali@comune.aversa.ce.it
1,c_a514,Mail2,comuneavetrana@libero.it
1,c_a517,Mail2,info@comunediaviatico.it
1,c_a518,Mail2,segreteria.avigliana@ruparpiemonte.it
1,c_a520,Mail2,segreteria@comune.avio.tn.it
1,c_a521,Mail2,info@comune.avise.ao.it
1,c_a523,Mail2,info@comune.avolasca.al.it
1,c_a525,Mail2,azeglio@ruparpiemonte.it
1,c_a526,Mail2,info@comune.azzanello.cr.it
1,c_a527,Mail2,azzano@comune.azzanodasti.at.it
1,c_a530,Mail2,tributi@comune.azzanodecimo.pn.it
1,c_a531,Mail2,infoazzate@comune.azzate.va.it
1,c_a532,Mail2,demografici@comune.azzio.va.it
1,c_a534,Mail2,protocollo@comune.baceno.vb.it
1,c_a536,Mail2,info@comunedibadalucco.it
1,c_a537,Mail2,info@comune.badia.bz.it
1,c_a538,Mail2,protocollo@comune.badiapavese.pv.it
1,c_a539,Mail2,segreteria@comune.badiapolesine.ro.it
1,c_a540,Mail2,protocollo@comune.badiacalavena.vr.it
1,c_a542,Mail2,comunebadolato@alice.it
1,c_a546,Mail2,direzione6@comunebagheria.telecompost.it
1,c_a547,Mail2,urp@comune.bagnacavallo.ra.it
1,c_a550,Mail2,info@comune.bagnaria.pv.it
1,c_a551,Mail2,tecnico@comune.bagnaradiromagna.ra.it
1,c_a553,Mail2,comune@comune.bagnariaarsa.ud.it
1,c_a561,Mail2,pamela.papini@comune.montecatini-terme.pt.it
1,c_a562,Mail2,protocollo@comune.sangiulianoterme.pisa.it
1,c_a565,Mail2,protocollo@comune.bagnodiromagna.fc.it
1,c_a566,Mail4,sportello.suap.bagnoliirpino@legalmail.it
1,c_a567,Mail2,bagnolideltrigno.ragion@virgilio.it
1,c_a572,Mail3,segreteria@comune.bagnolodelsalento.le.it
1,c_a573,Mail2,info@comune.bagnolo.re.it
1,c_a574,Mail2,protocollo@comune.bagnolodipo.ro.it
1,c_a577,Mail2,affarigenerali@comunebagnoregio.it
1,c_a580,Mail2,comune.baiano.av.it@comune.baiano.av.it
1,c_a584,Mail2,info@comune.bairo.to.it
1,c_a586,Mail2,ragioneria@comune.baiso.re.it
1,c_a587,Mail2,segreteria@comune.balangero.to.it
1,c_a591,Mail2,segreteria.baldissero.torinese@ruparpiemonte.it
1,c_a594,Mail2,info@comune.ballabio.lc.it
1,c_a599,Mail2,info@comune.balme.to.it
1,c_a600,Mail2,balmuccia@ruparpiemonte.it
1,c_a606,Mail2,comunebanari@tiscali.it
1,c_a610,Mail2,protocollo@comune.bannioanzino.vb.it
1,c_a612,Mail2,rosa.quaglianonicolo@comune.banzi.pz.it
1,c_a613,Mail2,info@comune.baone.pd.it
1,c_a616,Mail2,comunedibaranello.cb@virgilio.it
1,c_a617,Mail2,protocollo@comunebarano.it
1,c_a619,Mail2,info@comune.barasso.va.it
1,c_a621,Mail2,affarigenerali@comune.baratilisanpietro.or.it
1,c_a626,Mail3,protocollo@comune.barbara.an.it
1,c_a629,Mail2,barbaresco@comune.barbaresco.cn.it
1,c_a630,Mail2,segreteria@comune.barbariga.bs.it
1,c_a634,Mail2,protocollo@comune.barbianello.pv.it
1,c_a635,Mail2,info@barbiano.eu
1,c_a640,Mail2,ragioneria@comune.barcis.pn.it
1,c_a643,Mail2,info@comune.bard.ao.it
1,c_a646,Mail2,foini@comune.bardi.pr.it
1,c_a647,Mail2,grichero@tiscalinet.it
1,c_a650,Mail2,comune.urp@comune.bardolino.vr.it
1,c_a651,Mail2,segreteria@bardonecchia.it
1,c_a653,Mail2,segreteria@comune.barengo.no.it
1,c_a655,Mail2,info@comune.baressa.or.it
1,c_a656,Mail2,ragioneria@comune.barete.aq.it
1,c_a658,Mail2,protocollo@comune.bargagli.ge.it
1,c_a660,Mail2,barge@comune.barge.cn.it
1,c_a663,Mail2,protocollo@comunedibarisardo.it
1,c_a666,Mail3,segreteria@comune.barile.pz.it
1,c_a667,Mail2,protocollo@comune.barisciano.aq.it
1,c_a670,Mail2,ragioneria@comune.barni.co.it
1,c_a671,Mail2,protocollo@comune.barolo.cn.it
1,c_a673,Mail2,info@comune.barone.to.it
1,c_a674,Mail2,salvatore.iannelli@comune.baronissi.sa.it
1,c_a676,Mail2,protocollo@comune.barrafranca.en.it
1,c_a677,Mail2,protocollo@comune.barrali.ca.it
1,c_a678,Mail2,ragioneria@comune.barrea.aq.it
1,c_a683,Mail3,uffici@comune.barzago.lc.it
1,c_a684,Mail2,protocollo@comune.barzana.bg.it
1,c_a687,Mail2,segreteria@comune.barzio.lc.it
1,c_a689,Mail2,segreteria@comune.basaluzzo.al.it
1,c_a694,Mail2,comune@comune.baselgadipine.tn.it
1,c_a696,Mail5,tecnico@comune.baselice.bn.it
1,c_a698,Mail2,urp@comune.basico.me.it
1,c_a700,Mail2,protocollo@comune.basiliano.ud.it
1,c_a702,Mail2,monica.cremaschini@comune.bassano-bresciano.bs.it
1,c_a704,Mail2,ragioneria@comune.bassanoromano.vt.it
1,c_a705,Mail2,municipio@comune.tronzanolagomaggiore.va.it
1,c_a706,Mail2,uffici@comune.bassanointeverina.vt.it
1,c_a707,Mail2,sindaco@comune.bassiano.lt.it
2,c_a708,Mail3,protocollo@comune.bassignana.al.it
1,c_a710,Mail2,info@comune.bastia.pg.it
1,c_a712,Mail2,info@comune.bastidapancarana.pv.it
1,c_a713,Mail2,francesca.silvestri@comune.bastiglia.mo.it
1,c_a714,Mail2,info@comune.battaglia-terme.pd.it
1,c_a716,Mail2,battifollo@ruparpiemonte.it
1,c_a718,Mail2,battuda@comune.battuda.pv.it
1,c_a721,Mail2,info@comune.bauladu.or.it
1,c_a722,Mail2,info@comunedibaunei.it
1,c_a725,Mail2,protocollo@comune.baveno.vb.it
1,c_a726n,Mail2,info@comune.valsamoggia.bo.it
1,c_a731,Mail2,protocollo@comune.bedonia.pr.it
1,c_a733,Mail2,protocollo@comune.bee.vb.it
1,c_a735,Mail2,protocollo@comune.beinette.cn.it
1,c_a736,Mail2,amelia.brescia@tiscali.it
1,c_a738,Mail2,info@comune.belfortemonferrato.al.it
1,c_a739,Mail2,info@comune.belfortedelchienti.mc.it
1,c_a741,Mail2,info@comune.belgioioso.pv.it
1,c_a744,Mail3,segreteria@comune.bellagio.co.it
1,c_a746,Mail2,protocollo@comune.bellante.te.it
1,c_a749,Mail3,info@comune.bellegra.rm.gov.it
1,c_a750,Mail2,info@comune.bellino.cn.it
1,c_a751,Mail2,segreteria.bellinzagolombardo@unioneaddamartesana.it
1,c_a752,Mail2,municipio@comune.bellinzago.no.it
1,c_a756,Mail2,protocollo@comune.bellosguardo.sa.it
1,c_a757,Mail2,protocollo@comune.belluno.it
1,c_a760,Mail2,info@comunebelmontepiceno.it
1,c_a762,Mail2,fedele.vena@alice.it
1,c_a763,Mail3,belmontecastello@officine.it
1,c_a765,Mail2,belmonteinsabina@tiscali.it
1,c_a769,Mail2,comune.belvedereostrense@regione.marche.it
1,c_a770,Mail2,segreteria@comune.belveglio.at.it
1,c_a771,Mail2,info@comune.lizzano.bo.it
1,c_a774,Mail2,belvedere.langhe@reteunitaria.piemonte.it
1,c_a777,Mail2,amministrazione@comune.bema.so.it
1,c_a778,Mail2,info@comune.benelario.co.it
1,c_a779,Mail2,ufficioprotocollo@benevagienna.it
1,c_a781,Mail2,protocollo@comune.benetutti.ss.it
1,c_a782,Mail2,comune@comune.benevello.cn.it
1,c_a784,Mail2,benna@ptb.provincia.biella.it
1,c_a786,Mail2,segreteria@comune.berbenno.bg.it
1,c_a789,Mail2,ufficioprotocollo@comune.berchidda.ot.it
1,c_a791,Mail2,info@comune.beregazzoconfigliaro.co.it
1,c_a792,Mail2,protocollo@comune.bereguardo.pv.it
1,c_a793,Mail2,protocollo@comune.bergamasco.al.it
1,c_a794,Mail2,ggori@comune.bg.it
1,c_a796,Mail2,bergeggi@comune.bergeggi.sv.it
1,c_a798,Mail2,bergolo@ruparpiemonte.it
1,c_a799,Mail2,info@comune.berlingo.bs.it
1,c_a802,Mail2,protocollo@comune.bernareggio.mb.it
1,c_a805,Mail2,info@comune.bernezzo.cn.it
1,c_a809,Mail2,protocollo@comune.bertinoro.fc.it
1,c_a810,Mail2,protocollo@comune.bertiolo.ud.it
1,c_a811,Mail2,ragioneria@comune.bertonico.lo.it
1,c_a812,Mail2,protocollo@comune.berzanosanpietro.at.it
1,c_a813,Mail2,info@comune.berzanoditortona.al.it
1,c_a816,Mail2,info@comune.berzo-demo.bs.it
1,c_a817,Mail2,info@comune.berzo-inferiore.bs.it
1,c_a818,Mail2,protocollo@comune.besanainbrianza.mb.it
1,c_a819,Mail2,finanze@comune.besano.va.it
1,c_a821,Mail2,info@comune.besenello.tn.it
1,c_a823,Mail2,info@comune.besenzone.pc.it
1,c_a825,Mail2,ced@comune.besnate.va.it
1,c_a827,Mail2,protocollo@comune.bessude.ss.it
1,c_a831,Mail2,protocollo@comune.bettola.pc.it
1,c_a832,Mail3,sett.urbanistica@comune.bettona.pg.it
1,c_a834,Mail2,municipio@comune.beuracardezza.vb.it
1,c_a836,Mail2,area.amministrativa@comune.beverino.sp.it
1,c_a842,Mail2,anagrafe@comune.bianchi.cs.it
1,c_a843,Mail2,ufficio.ragioneria@comune.bianco.rc.it
1,c_a844,Mail2,info@comune.biandrate.no.it
1,c_a845,Mail2,ufficiosegreteria@comune.biandronno.va.ite
1,c_a846,Mail2,info@comune.bianzano.bg.it
1,c_a847,Mail2,bianze@ruparpiemonte.it
1,c_a855,Mail2,segretario@comune.bicinicco.ud.it
1,c_a856,Mail2,servizi.demografici@comune.bidoni.or.it
1,c_a864,Mail2,protocollo@comune.bientina.pi.it
1,c_a870,Mail2,info@comune.binago.co.it
